"GENC","Country/Area Name","Year","GROUP","Population","% of Population","Male Population","% of Males","Female Population","% of Females","Sex ratio of the population"
"KE","Kenya","2024","60","248459","0.42656557975158554","123816","0.425604465863233","124643","0.42752462409162634","0.9933650505844692"
"KE","Kenya","2024","61","234551","0.40268770016909894","116028","0.39883403570765646","118523","0.4065330666079269","0.9789492334821089"
"KE","Kenya","2024","62","220567","0.37867934037031453","108251","0.37210141689410764","112316","0.3852430997286258","0.9638074717760604"
"KE","Kenya","2024","63","207110","0.3555757578608579","100879","0.34676094294612225","106231","0.36437159200177754","0.9496192260263012"
"KE","Kenya","2024","64","194010","0.3330850889990104","93696","0.32207013660206657","100314","0.34407632310781516","0.9340271547341348"
"KE","Kenya","2024","65","181172","0.3110442335143998","86711","0.29805993441450856","94461","0.32400057376923785","0.9179555583785901"
"KE","Kenya","2024","66","168960","0.29007812296929436","80124","0.2754178153294055","88836","0.30470686284672","0.9019316493313522"
"KE","Kenya","2024","67","157421","0.2702674490764044","74019","0.25443252050405957","83402","0.28606828059730444","0.8874967027169612"
"KE","Kenya","2024","68","147128","0.25259596399281686","68663","0.23602183433132362","78465","0.2691344048951763","0.8750780602816542"
"KE","Kenya","2024","69","137818","0.23661213749634355","63918","0.21971139633848716","73900","0.253476486608724","0.8649255751014885"
"KE","Kenya","2024","70","128983","0.22144381235173113","59468","0.20441498979093764","69515","0.2384359670717923","0.8554700424368841"
"KE","Kenya","2024","71","120170","0.20631325779604698","55047","0.18921826769055197","65123","0.22337143758349032","0.845277398154262"
"KE","Kenya","2024","72","110960","0.1905011157947023","50585","0.17388061240624506","60375","0.20708583056835875","0.8378467908902691"
"KE","Kenya","2024","73","101657","0.17452930721288798","46250","0.158979506252621","55407","0.19004562508159095","0.834732073564712"
"KE","Kenya","2024","74","92182","0.15826220129945248","41790","0.14364872575777365","50392","0.17284420992133723","0.8292983013176695"
"KE","Kenya","2024","75","82953","0.14241743924403333","37487","0.1288576162355028","45466","0.1559480641427909","0.8245062244314433"
"KE","Kenya","2024","76","74405","0.12774184860044002","33525","0.11523865831608907","40880","0.14021811600222786","0.8200831702544031"
"KE","Kenya","2024","77","66476","0.11412898498169277","29870","0.10267498057871978","36606","0.12555832569416714","0.8159864503086925"
"KE","Kenya","2024","78","59420","0.10201492700541825","26583","0.09137626410191188","32837","0.11263068187781693","0.8095441118250754"
"KE","Kenya","2024","79","53101","0.09116618375824159","23609","0.08115345217552714","29492","0.10115735511589295","0.8005221755052218"
"KE","Kenya","2024","80","47084","0.0808359276863533","20776","0.07141531290604225","26308","0.0902362572354846","0.7897217576402615"
"KE","Kenya","2024","81","41310","0.07092286493762755","18092","0.062189345451295557","23218","0.0796375787020481","0.7792230166250323"
"KE","Kenya","2024","82","35782","0.06143214604691815","15549","0.053448050653448737","20233","0.06939904943916526","0.7684970098354174"
"KE","Kenya","2024","83","30656","0.052631598826625756","13222","0.04544923311723578","17434","0.05979849888412035","0.7584031203395664"
"KE","Kenya","2024","84","25981","0.044605348679363374","11117","0.03821351721103541","14864","0.05098341673818774","0.7479144241119483"
"KE","Kenya","2024","85","21737","0.037319058706105294","9218","0.03168590461917104","12519","0.04294008302915583","0.7363207923955587"
"KE","Kenya","2024","86","17940","0.03080019842607209","7537","0.0259076440784001","10403","0.035682217729236215","0.7245025473421128"
"KE","Kenya","2024","87","14498","0.024890818103745438","6030","0.020727490220611995","8468","0.029045181171890054","0.7120925838450638"
"KE","Kenya","2024","88","11472","0.019695645281153792","4713","0.016200441361483305","6759","0.023183323044497505","0.6972924988903684"
"KE","Kenya","2024","89","8895","0.01527133584168959","3605","0.012391808000879974","5290","0.018144663249799055","0.6814744801512287"
"KE","Kenya","2024","90","6752","0.011592137111083542","2701","0.009284403165153067","4051","0.013894901857265779","0.6667489508763268"
"KE","Kenya","2024","91","5012","0.00860482689584578","1972","0.006778542407138781","3040","0.010427178880791895","0.6486842105263158"
"KE","Kenya","2024","92","3624","0.006221846103460716","1409","0.004843289174269037","2215","0.007597434612155936","0.636117381489842"
"KE","Kenya","2024","93","2557","0.00438997254043848","982","0.0033755216246502454","1575","0.0054022390583050115","0.6234920634920635"
"KE","Kenya","2024","94","1753","0.00300962919960448","662","0.002275555311118597","1091","0.0037421224207052494","0.6067827681026581"
"KE","Kenya","2024","95","1168","0.002005274903102129","435","0.001495266707457084","733","0.002514184907769888","0.5934515688949522"
"KE","Kenya","2024","96","759","0.0013030853180261268","279","0.0009590331296104057","480","0.0016463966653881938","0.58125"
"KE","Kenya","2024","97","473","0.000812067661958311","170","0.000584357104063688","303","0.0010392878950262973","0.5610561056105611"
"KE","Kenya","2024","98","286","0.0004910176560678159","102","0.00035061426243821283","184","0.000631118721732141","0.5543478260869565"
"KE","Kenya","2024","99","170","0.00029186364171863185","59","0.00020280628905739763","111","0.00038072922887101985","0.5315315315315315"
"KE","Kenya","2024","100+","202","0.0003468026801597861","69","0.00023718023635526162","133","0.0004561890760346454","0.518796992481203"
